Age,Sex,Embarked,Survived
22,male,S,0
38,female,C,1
26,female,S,1
35,female,S,1
35,male,S,0
,male,Q,0
54,male,S,0
2,male,S,0
27,female,S,1
14,female,C,1
4,female,S,1
58,female,S,1
20,male,S,0
39,male,S,0
14,female,S,0
55,female,S,1
2,male,Q,0
,male,S,1
31,female,S,0
,female,C,1
35,male,S,0
34,male,S,1
15,female,Q,1
28,male,S,1
8,female,S,0
38,female,S,1
,male,C,0
19,male,S,0
,female,Q,1
,male,S,0
40,male,C,0
,female,C,1
,female,Q,1
66,male,S,0
28,male,C,0
42,male,S,0
,male,C,1
21,male,S,0
18,female,S,0
14,female,C,1
40,female,S,0
27,female,S,0
,male,C,0
3,female,C,1
19,female,Q,1
,male,S,0
,male,Q,0
,female,Q,1
,male,C,0
18,female,S,0
7,male,S,0
21,male,S,0
49,female,C,1
29,female,S,1
65,male,C,0
,male,S,1
21,female,S,1
28.5,male,C,0
5,female,S,1
11,male,S,0
22,male,C,0
38,female,,1
45,male,S,0
4,male,S,0
,male,C,0
,male,C,1
29,female,S,1
19,male,S,0
17,female,S,1
26,male,S,0
32,male,S,0
16,female,S,0
21,male,S,0
26,male,C,0
32,male,S,1
25,male,S,0
,male,S,0
,male,S,0
0.83,male,S,1
30,female,S,1
22,male,S,0
29,male,S,1
,female,Q,1
28,male,S,0
17,female,S,1
33,female,S,1
16,male,S,0
,male,S,0
23,female,S,1
24,male,S,0
29,male,S,0
20,male,S,0
46,male,S,0
26,male,S,0
59,male,S,0
,male,S,0
71,male,C,0
23,male,C,1
34,female,S,1
34,male,S,0
28,female,S,0
,male,S,0
21,male,S,0
33,male,S,0
37,male,S,0
28,male,S,0
21,female,S,1
,male,S,1
38,male,S,0
,female,Q,1
47,male,S,0
14.5,female,C,0
22,male,S,0
20,female,S,0
17,female,C,0
21,male,S,0
70.5,male,Q,0
29,male,S,0
24,male,C,0
2,female,S,0
21,male,S,0
,male,S,0
32.5,male,C,0
32.5,female,S,1
54,male,S,0
12,male,C,1
,male,Q,0
24,male,S,1
,female,C,1
45,male,S,0
33,male,C,0
20,male,S,0
47,female,S,0
29,female,S,1
25,male,S,0
23,male,C,0
19,female,S,1
37,male,S,0
16,male,S,0
24,male,C,0
,female,C,0
22,female,S,1
24,female,S,1
19,male,Q,0
18,male,S,0
19,male,S,0
27,male,S,1
9,female,S,0
36.5,male,S,0
42,male,S,0
51,male,S,0
22,female,S,1
55.5,male,S,0
40.5,male,S,0
,male,S,0
51,male,C,0
16,female,Q,1
30,male,S,0
,male,S,0
,male,S,0
44,male,S,0
40,female,S,1
26,male,S,0
17,male,S,0
1,male,S,0
9,male,S,1
,female,S,1
45,female,S,0
,male,S,0
28,male,S,0
61,male,S,0
4,male,Q,0
1,female,S,1
21,male,S,0
56,male,C,0
18,male,S,0
,male,S,0
50,female,C,0
30,male,S,0
36,male,S,0
,female,S,0
,male,C,0
9,male,S,0
1,male,S,1
4,female,S,1
,male,S,0
,female,Q,1
45,male,S,1
40,male,Q,0
36,male,S,0
32,female,S,1
19,male,S,0
19,female,S,1
3,male,S,1
44,female,C,1
58,female,C,1
,male,Q,0
42,male,S,0
,female,Q,1
24,female,S,0
28,male,S,0
,male,S,0
34,male,S,0
45.5,male,C,0
18,male,S,1
2,female,S,0
32,male,S,0
26,male,C,1
16,female,Q,1
40,male,C,1
24,male,S,0
35,female,S,1
22,male,S,0
30,male,S,0
,male,Q,0
31,female,C,1
27,female,S,1
42,male,S,0
32,female,C,1
30,male,S,0
16,male,S,1
27,male,S,0
51,male,S,0
,male,S,0
38,male,S,1
22,male,S,0
19,male,S,1
20.5,male,S,0
18,male,S,0
,female,S,0
35,female,S,1
29,male,S,0
59,male,S,0
5,female,S,1
24,male,S,0
,female,S,0
44,male,S,0
8,female,S,1
19,male,S,0
33,male,S,0
,female,C,0
,female,Q,1
29,male,S,0
22,male,S,0
30,male,C,0
44,male,Q,0
25,female,S,0
24,female,S,1
37,male,S,1
54,male,S,0
,male,S,0
29,female,S,0
62,male,S,0
30,male,S,0
41,female,S,0
29,female,C,1
,female,C,1
30,female,S,1
35,female,C,1
50,female,S,1
,male,Q,0
3,male,S,1
52,male,S,0
40,male,S,0
,female,Q,0
36,male,S,0
16,male,S,0
25,male,S,1
58,female,S,1
35,female,S,1
,male,S,0
25,male,S,1
41,female,S,1
37,male,C,0
,female,Q,1
63,female,S,1
45,female,S,0
,male,S,0
7,male,Q,0
35,female,S,1
65,male,Q,0
28,male,S,0
16,male,S,0
19,male,S,1
,male,S,0
33,male,C,0
30,male,S,1
22,male,S,0
42,male,S,1
22,female,Q,1
26,female,S,1
19,female,C,1
36,male,C,0
24,female,S,0
24,male,S,0
,male,C,0
23.5,male,C,0
2,female,S,0
,male,S,1
50,female,C,1
,female,Q,1
,male,Q,1
19,male,S,0
,female,Q,1
,male,S,0
0.92,male,S,1
,female,C,1
17,female,C,1
30,male,C,0
30,female,C,1
24,female,C,1
18,female,C,1
26,female,S,0
28,male,S,0
43,male,S,0
26,female,S,1
24,female,S,1
54,male,S,0
31,female,S,1
40,female,C,1
22,male,S,0
27,male,S,0
30,female,Q,1
22,female,S,1
,male,S,0
36,female,C,1
61,male,S,0
36,female,S,1
31,female,S,1
16,female,C,1
,female,Q,1
45.5,male,S,0
38,male,S,0
16,male,S,0
,female,S,1
,male,S,0
29,male,S,0
41,female,C,1
45,male,S,1
45,male,S,0
2,male,S,1
24,female,S,1
28,male,S,0
25,male,S,0
36,male,S,0
24,female,S,1
40,female,S,1
,female,S,1
3,male,S,1
42,male,S,0
23,male,S,0
,male,S,0
15,male,C,0
25,male,S,0
,male,C,0
28,male,S,0
22,female,S,1
38,female,S,0
,female,Q,1
,female,Q,1
40,male,S,0
29,male,C,0
45,female,C,0
35,male,S,0
,male,Q,0
30,male,S,0
60,female,C,1
,female,C,1
,female,Q,1
24,female,C,1
25,male,C,1
18,male,S,0
19,male,S,0
22,male,C,0
3,female,S,0
,female,C,1
22,female,S,1
27,male,C,0
20,male,C,0
19,male,S,0
42,female,C,1
1,female,C,1
32,male,S,0
35,female,S,1
,male,S,0
18,male,S,0
1,male,S,0
36,female,S,1
,male,Q,0
17,female,C,1
36,male,S,1
21,male,S,1
28,male,S,0
23,female,C,1
24,female,S,1
22,male,S,0
31,female,S,0
46,male,S,0
23,male,S,0
28,female,S,1
39,male,S,1
26,male,S,0
21,female,S,0
28,male,S,0
20,female,S,0
34,male,S,0
51,male,S,0
3,male,S,1
21,male,S,0
,female,S,0
,male,S,0
,male,Q,0
33,female,Q,1
,male,S,0
44,male,S,1
,female,S,0
34,female,S,1
18,female,S,1
30,male,S,0
10,female,S,0
,male,C,0
21,male,Q,0
29,male,S,0
28,female,S,0
18,male,S,0
,male,S,0
28,female,S,1
19,female,S,1
,male,Q,0
32,male,S,1
28,male,S,1
,female,S,1
42,female,S,1
17,male,S,0
50,male,S,0
14,female,S,1
21,female,S,0
24,female,S,1
64,male,S,0
31,male,S,0
45,female,S,1
20,male,S,0
25,male,S,0
28,female,S,1
,male,S,1
4,male,S,1
13,female,S,1
34,male,S,1
5,female,C,1
52,male,S,1
36,male,S,0
,male,S,0
30,male,C,0
49,male,C,1
,male,S,0
29,male,C,1
65,male,S,0
,female,S,1
50,female,S,1
,male,Q,0
48,male,S,1
34,male,S,0
47,male,S,0
48,male,S,0
,male,S,0
38,male,S,0
,male,S,0
56,male,S,0
,male,Q,0
0.75,female,C,1
,male,S,0
38,male,S,0
33,female,S,1
23,female,C,1
22,female,S,0
,male,S,0
34,male,S,0
29,male,S,0
22,male,S,0
2,female,S,1
9,male,S,0
,male,S,0
50,male,S,0
63,female,S,1
25,male,C,1
,female,S,0
35,female,S,1
58,male,C,0
30,male,S,0
9,male,S,1
,male,S,0
21,male,S,0
55,male,S,0
71,male,C,0
21,male,S,0
,male,C,0
54,female,C,1
,male,S,0
25,female,S,0
24,male,S,0
17,male,S,0
21,female,Q,0
,female,Q,0
37,female,S,0
16,female,S,1
18,male,C,0
33,female,S,1
,male,S,1
28,male,S,0
26,male,S,1
29,male,Q,1
,male,S,0
36,male,S,1
54,female,C,1
24,male,S,0
47,male,S,0
34,female,S,1
,male,Q,0
36,female,S,1
32,male,S,0
30,female,S,1
22,male,S,0
,male,C,0
44,female,C,1
,male,C,0
40.5,male,Q,0
50,female,S,1
,male,S,0
39,male,S,0
23,male,S,0
2,female,S,1
,male,C,0
17,male,C,0
,female,C,1
30,female,S,0
7,female,S,1
45,male,S,0
30,female,C,1
,male,S,0
22,female,C,1
36,female,S,1
9,female,S,0
11,female,S,0
32,male,S,1
50,male,C,0
64,male,S,0
19,female,S,1
,male,C,1
33,male,S,0
8,male,S,1
17,male,C,1
27,male,S,0
,male,Q,0
22,male,C,1
22,female,S,1
62,male,S,0
48,female,C,1
,male,C,0
39,female,S,1
36,female,S,1
,male,Q,0
40,male,S,0
28,male,S,0
,male,S,0
,female,S,0
24,male,S,0
19,male,S,0
29,female,S,0
,male,C,0
32,male,S,1
62,male,S,1
53,female,S,1
36,male,S,1
,female,Q,1
16,male,S,0
19,male,S,0
34,female,S,1
39,female,S,1
,female,C,0
32,male,S,1
25,female,S,1
39,female,C,1
54,male,S,0
36,male,C,0
,male,C,0
18,female,S,1
47,male,S,0
60,male,C,1
22,male,S,0
,male,S,0
35,male,S,0
52,female,C,1
47,male,S,0
,female,Q,0
37,male,S,0
36,male,S,0
,female,S,1
49,male,S,0
,male,C,0
49,male,C,1
24,female,S,1
,male,S,0
,male,S,0
44,male,S,0
35,male,C,1
36,male,S,0
30,male,S,0
27,male,S,1
22,female,C,1
40,female,S,1
39,female,S,0
,male,S,0
,female,Q,1
,male,Q,0
35,male,S,0
24,female,S,1
34,male,S,0
26,female,S,0
4,female,S,1
26,male,S,0
27,male,C,0
42,male,S,1
20,male,C,1
21,male,S,0
21,male,S,0
61,male,S,0
57,male,Q,0
21,female,S,1
26,male,S,0
,male,Q,0
80,male,S,1
51,male,S,0
32,male,C,1
,male,S,0
9,female,S,0
28,female,S,1
32,male,S,0
31,male,S,0
41,female,S,0
,male,S,0
20,male,S,0
24,female,C,1
2,female,S,0
,male,S,1
0.75,female,C,1
48,male,C,1
19,male,S,0
56,male,C,1
,male,S,0
23,female,S,1
,male,S,0
18,female,S,1
21,male,S,0
,female,Q,1
18,female,Q,0
24,male,S,0
,male,S,0
32,female,Q,0
23,male,S,0
58,male,C,0
50,male,S,1
40,male,C,0
47,male,S,0
36,male,S,0
20,male,S,1
32,male,S,0
25,male,S,0
,male,S,0
43,male,S,0
,female,S,1
40,female,S,1
31,male,S,0
70,male,S,0
31,male,S,1
,male,S,0
18,male,S,0
24.5,male,S,0
18,female,S,1
43,female,S,0
36,male,C,1
,female,Q,0
27,male,C,1
20,male,S,0
14,male,S,0
60,male,S,0
25,male,C,0
14,male,S,0
19,male,S,0
18,male,S,0
15,female,S,1
31,male,S,1
4,female,C,1
,male,S,1
25,male,C,0
60,male,S,0
52,male,S,0
44,male,S,0
,female,Q,1
49,male,C,0
42,male,S,0
18,female,C,1
35,male,S,1
18,female,C,0
25,male,Q,0
26,male,S,0
39,male,S,0
45,female,S,1
42,male,S,1
22,female,S,1
,male,C,1
24,female,C,1
,male,S,0
48,male,S,1
29,male,S,0
52,male,S,0
19,male,S,0
38,female,C,1
27,female,S,1
,male,Q,0
33,male,S,0
6,female,S,1
17,male,S,0
34,male,S,0
50,male,S,0
27,male,S,1
20,male,S,0
30,female,S,1
,female,Q,1
25,male,S,0
25,female,S,0
29,female,S,1
11,male,C,0
,male,S,0
23,male,S,0
23,male,S,0
28.5,male,S,0
48,female,S,0
35,male,C,1
,male,S,0
,male,S,0
,male,S,1
36,male,S,0
21,female,C,1
24,male,S,0
31,male,S,1
70,male,S,0
16,male,S,0
30,female,S,1
19,male,S,0
31,male,Q,0
4,female,S,1
6,male,S,1
33,male,S,0
23,male,S,0
48,female,S,1
0.67,male,S,1
28,male,S,0
18,male,S,0
34,male,S,0
33,female,S,1
,male,S,0
41,male,S,0
20,male,C,1
36,female,S,1
16,male,S,0
51,female,S,1
,male,C,0
30.5,female,Q,0
,male,Q,0
32,male,S,0
24,male,S,0
48,male,S,0
57,female,S,0
,male,C,0
54,female,S,1
18,male,S,0
,male,Q,0
5,female,S,1
,male,Q,0
43,female,S,1
13,female,C,1
17,female,S,1
29,male,S,0
,male,S,0
25,male,S,0
25,male,S,0
18,female,S,1
8,male,Q,0
1,male,S,1
46,male,C,0
,male,Q,0
16,male,S,0
,female,S,0
,male,C,0
25,male,S,0
39,male,S,0
49,female,S,1
31,female,S,1
30,male,C,0
30,female,S,0
34,male,S,0
31,female,S,1
11,male,S,1
0.42,male,C,1
27,male,S,1
31,male,S,0
39,male,S,0
18,female,S,0
39,male,S,0
33,female,S,1
26,male,S,0
39,male,S,0
35,male,S,0
6,female,S,0
30.5,male,S,0
,male,S,0
23,female,S,0
31,male,C,0
43,male,S,0
10,male,S,0
52,female,S,1
27,male,S,1
38,male,S,0
27,female,S,1
2,male,S,0
,male,Q,0
,male,S,0
1,male,C,1
,male,Q,1
62,female,,1
15,female,C,1
0.83,male,S,1
,male,C,0
23,male,S,0
18,male,S,0
39,female,C,1
21,male,S,0
,male,S,0
32,male,S,1
,male,C,1
20,male,S,0
16,male,S,0
30,female,C,1
34.5,male,C,0
17,male,S,0
42,male,S,0
,male,S,0
35,male,C,0
28,male,S,0
,female,C,1
4,male,S,0
74,male,S,0
9,female,C,0
16,female,S,1
44,female,S,0
18,female,S,1
45,female,S,1
51,male,S,1
24,female,C,1
,male,C,0
41,male,S,0
21,male,S,0
48,female,S,1
,female,S,0
24,male,S,0
42,female,S,1
27,female,C,1
31,male,S,0
,male,S,0
4,male,S,1
26,male,S,0
47,female,S,1
33,male,S,0
47,male,S,0
28,female,C,1
15,female,C,1
20,male,S,0
19,male,S,0
,male,S,0
56,female,C,1
25,female,S,1
33,male,S,0
22,female,S,0
28,male,S,0
25,male,S,0
39,female,Q,0
27,male,S,0
19,female,S,1
,female,S,0
26,male,C,1
32,male,Q,0
