sn,name,province,lon,lat,height
50353,呼玛,黑龙江,126.65,51.717,177.4
50434,图里河,内蒙古,121.683,50.483,732.6
50468,黑河,黑龙江,127.45,50.25,166.4
50514,满洲里,内蒙古,117.433,49.567,661.7
50527,海拉尔,内蒙古,119.75,49.217,610.2
50548,小二沟,内蒙古,123.717,49.2,286.1
50557,嫩江,黑龙江,125.233,49.167,242.2
50564,孙吴,黑龙江,127.35,49.433,234.5
50603,新巴尔虎右旗,内蒙古,116.817,48.667,554.2
50618,新巴尔虎左旗,内蒙古,118.267,48.217,642
50632,博克图,内蒙古,121.917,48.767,739.7
50639,扎兰屯,内蒙古,122.733,48,306.5
50656,北安,黑龙江,126.517,48.283,269.7
50658,克山,黑龙江,125.883,48.05,234.6
50727,阿尔山,内蒙古,119.933,47.167,997.2
50742,富裕,黑龙江,124.483,47.8,162.7
50745,齐齐哈尔,黑龙江,123.917,47.383,147.1
50756,海伦,黑龙江,126.967,47.433,239.2
50758,明水,黑龙江,125.9,47.167,247.2
50774,伊春,黑龙江,128.917,47.733,240.9
50775,鹤岗,黑龙江,130.267,47.333,227.9
50788,富锦,黑龙江,131.983,47.233,66.4
50834,索伦,内蒙古,121.217,46.6,499.7
50844,泰来,黑龙江,123.417,46.4,149.5
50853,绥化,黑龙江,126.967,46.617,179.6
50854,安达,黑龙江,125.317,46.383,149.3
50862,铁力,黑龙江,128.017,46.983,210.5
50877,依兰,黑龙江,129.583,46.3,100.1
50888,宝清,黑龙江,132.183,46.317,83
50915,东乌珠穆沁旗,内蒙古,116.967,45.517,838.9
50936,白城,吉林,122.833,45.633,155.3
50948,乾安,吉林,124.017,45,146.3
50949,前郭尔罗斯,吉林,124.867,45.083,136.2
50953,哈尔滨,黑龙江,126.767,45.75,142.3
50963,通河,黑龙江,128.733,45.967,108.6
50968,尚志,黑龙江,127.967,45.217,189.7
50978,鸡西,黑龙江,130.933,45.3,280.8
50983,虎林,黑龙江,132.967,45.767,100.2
51053,哈巴河,新疆,86.4,48.05,532.6
51059,吉木乃,新疆,85.867,47.433,984.1
51068,福海,新疆,87.467,47.117,500.9
51087,富蕴,新疆,89.517,46.983,807.5
51133,塔城,新疆,83,46.733,534.9
51156,和布克赛尔,新疆,85.717,46.783,1291.6
51186,青河,新疆,90.383,46.667,1218.2
51232,阿拉山口,新疆,82.567,45.183,336.1
51241,托里,新疆,83.6,45.933,1077.8
51243,克拉玛依,新疆,84.85,45.617,449.5
51288,北塔山,新疆,90.533,45.367,1653.7
51330,温泉,新疆,81.017,44.967,1357.8
51334,精河,新疆,82.9,44.617,320.1
51346,乌苏,新疆,84.667,44.433,478.7
51356,石河子,新疆,86.05,44.317,442.9
51365,蔡家湖,新疆,87.533,44.2,440.5
51379,奇台,新疆,89.567,44.017,793.5
51431,伊宁,新疆,81.333,43.95,662.5
51437,昭苏,新疆,81.133,43.15,1851
51463,乌鲁木齐,新疆,87.65,43.783,935
51467,巴仑台,新疆,86.3,42.733,1739
51477,达板城,新疆,88.317,43.35,1103.5
51495,七角井,新疆,91.733,43.217,721.4
51526,库米什,新疆,88.217,42.233,922.4
51542,巴音布鲁克,新疆,84.15,43.033,2458
51567,焉耆,新疆,86.567,42.083,1055.3
51573,吐鲁番,新疆,89.2,42.933,34.5
51628,阿克苏,新疆,80.233,41.167,1103.8
51633,拜城,新疆,81.9,41.783,1229.2
51642,轮台,新疆,84.25,41.783,976.1
51644,库车,新疆,82.967,41.717,1081.9
51656,库尔勒,新疆,86.133,41.75,931.5
51701,吐尔尕特,新疆,75.4,40.517,3504.4
51705,乌恰,新疆,75.25,39.717,2175.7
51709,喀什,新疆,75.983,39.467,1289.4
51711,阿合奇,新疆,78.45,40.933,1984.9
51720,柯坪,新疆,79.05,40.5,1161.8
51730,阿拉尔,新疆,81.267,40.55,1012.2
51765,铁干里克,新疆,87.7,40.633,846
51777,若羌,新疆,88.167,39.033,887.7
51811,莎车,新疆,77.267,38.433,1231.2
51818,皮山,新疆,78.283,37.617,1375.4
51828,和田,新疆,79.933,37.133,1375
51839,民丰,新疆,82.717,37.067,1409.5
51855,且末,新疆,85.55,38.15,1247.2
51886,茫崖,青海,90.85,38.25,2944.8
51931,于田,新疆,81.65,36.85,1422
52101,巴里塘,新疆,93.05,43.6,1677.2
52267,额济纳旗,内蒙古,101.067,41.95,940.5
52313,红柳河,新疆,94.667,41.533,1573.8
52323,马鬃山,甘肃,97.033,41.8,1770.4
52378,拐子湖,内蒙古,102.367,41.367,960
52418,敦煌,甘肃,94.683,40.15,1139
52424,安西,甘肃,95.767,40.533,1170.9
52436,玉门镇,甘肃,97.033,40.267,1526
52446,鼎新,甘肃,99.517,40.3,1177.4
52495,巴音毛道,内蒙古,104.8,40.167,1323.9
52533,酒泉,甘肃,98.483,39.767,1477.2
52546,高台,甘肃,99.833,39.367,1332.2
52576,阿拉善右旗,内蒙古,101.683,39.217,1510.1
52602,冷湖,青海,93.333,38.75,2770
52633,托勒,青海,98.417,38.8,3367
52645,野牛沟,青海,99.583,38.417,8320
52652,张掖,甘肃,100.433,38.933,1482.7
52657,祁连,青海,100.25,38.183,2787.4
52661,山丹,甘肃,101.083,38.8,1764.6
52674,永昌,甘肃,101.967,38.233,1976.9
52679,武威,甘肃,102.667,37.917,1531.5
52681,民勤,甘肃,103.083,38.633,1367.5
52713,大柴旦,青海,95.367,37.85,3173.2
52737,德令哈,青海,97.367,37.367,2981.5
52754,刚察,青海,100.133,37.333,8301.5
52765,门源,青海,101.617,37.383,7850
52787,乌鞘岭,甘肃,102.867,37.2,3045.1
52797,景泰,甘肃,104.05,37.183,1630.9
52818,格尔木,青海,94.9,36.417,2807.6
52825,诺木洪,青海,96.417,36.433,2790.4
52836,都兰,青海,98.1,36.3,3191.1
52856,恰卜恰,青海,100.617,36.267,2835
52866,西宁,青海,101.75,36.717,2295.2
52868,贵州,青海,101.433,36.033,2237.1
52876,民和,青海,102.85,36.317,1813.9
52895,靖远,甘肃,104.683,36.567,1398.2
52908,伍道梁,青海,93.083,35.217,4612.2
52983,榆中,甘肃,104.15,35.867,1874.4
52984,临夏,甘肃,103.183,35.583,1917.2
52986,临洮,甘肃,103.85,35.35,1893.8
52996,华家岭,甘肃,105,35.383,2450.6
53068,二连浩特,内蒙古,111.967,43.65,964.7
53083,那仁宝力格,内蒙古,114.15,44.617,1181.6
53149,满都拉,内蒙古,110.133,42.533,1225.2
53192,阿巴嘎旗,内蒙古,114.95,44.017,1126.1
53195,苏尼特左旗,内蒙古,113.633,43.867,1036.7
53276,朱日和,内蒙古,112.9,42.4,1150.8
53336,乌拉特中旗,内蒙古,108.517,41.567,1288
53352,达尔罕联合旗,内蒙古,110.433,41.7,1376.6
53362,四子王旗,内蒙古,111.683,41.533,1490.1
53391,化德,内蒙古,114,41.9,1482.7
53399,张北,河北,114.7,41.15,1393.3
53446,包头,内蒙古,109.85,40.667,1067.2
53463,呼和浩特,内蒙古,111.683,40.817,1063
53478,右玉,山西,112.45,40,1345.8
53480,集宁,内蒙古,113.067,41.033,1419.3
53487,大同,山西,113.333,40.1,1067.2
53502,吉兰太,内蒙古,105.75,39.783,1031.8
53513,临河,内蒙古,107.417,40.75,1039.3
53519,惠农,宁夏,106.767,39.217,1092.5
53529,鄂托克旗,内蒙古,107.983,39.1,1380.3
53543,东胜,内蒙古,109.983,39.833,1461.9
53564,河曲,山西,111.15,39.383,861.5
53588,五台山,山西,113.517,38.95,2208.3
53593,蔚县,河北,114.567,39.833,909.5
53602,阿拉善左旗,内蒙古,105.667,38.833,1561.4
53614,银川,宁夏,106.217,38.483,1111.4
53615,陶乐,宁夏,106.7,38.8,1101.6
53646,榆林,陕西,109.783,38.267,1157
53663,五寨,山西,111.817,38.917,1401
53664,兴县,山西,111.133,38.467,1012.6
53673,原平,山西,112.717,38.733,828.2
53698,石家庄,河北,114.417,38.033,81
53705,中宁,宁夏,105.683,37.483,1183.4
53723,盐池,宁夏,107.383,37.8,1349.3
53740,横山,陕西,109.233,37.933,1111
53754,绥德,陕西,110.217,37.5,929.7
53772,太原,山西,112.55,37.783,778.3
53782,阳泉,山西,113.55,37.85,741.9
53787,榆社,山西,112.983,37.067,1041.4
53798,邢台,河北,114.5,37.067,77.3
53806,海源,宁夏,105.65,36.567,1854.2
53810,同心,宁夏,105.9,36.967,1339.3
53817,固原,宁夏,106.267,36,1753
53821,环县,甘肃,107.3,36.583,1255.6
53845,延安,陕西,109.5,36.6,958.5
53853,隰县,山西,110.95,36.7,1052.7
53863,介休,山西,111.917,37.033,743.9
53898,安阳,河南,114.4,36.05,62.9
53903,西吉,宁夏,105.717,35.967,1916.5
53915,平凉,甘肃,106.667,35.55,1346.6
53923,西峰镇,甘肃,107.633,35.733,1421
53929,长武,陕西,107.8,35.2,1206.5
53942,洛川,陕西,109.5,35.817,1159.8
53959,运城,山西,111.05,35.05,365
53975,阳城,山西,112.4,35.483,659.5
53986,新乡,河南,113.883,35.317,73.2
54012,西乌珠穆沁旗,内蒙古,117.6,44.583,1000.6
54026,扎鲁特旗,内蒙古,120.9,44.567,265
54027,巴林左旗,内蒙古,119.4,43.983,486.2
54041,通榆,吉林,123.067,44.783,149.5
54049,长岭,吉林,123.967,44.25,188.9
54063,三岔河,吉林,126,44.967,196.8
54094,牡丹江,黑龙江,129.6,44.567,241.4
54096,绥芬河,黑龙江,131.167,44.383,567.8
54102,锡林浩特,内蒙古,116.117,43.95,1003
54115,林西,内蒙古,118.067,43.6,799.5
54134,开鲁,内蒙古,121.283,43.6,241
54135,通辽,内蒙古,122.267,43.6,178.7
54142,双辽,吉林,123.533,43.5,114.9
54157,四平,吉林,124.333,43.167,165.7
54161,长春,吉林,125.217,43.9,236.8
54181,蛟河,吉林,127.333,43.7,295
54186,敦化,吉林,128.2,43.367,524.9
54208,多伦,内蒙古,116.467,42.183,1245.4
54213,翁牛特旗,内蒙古,119.017,42.933,634.3
54218,赤峰,内蒙古,118.933,42.267,568
54226,宝国图,内蒙古,120.7,42.333,400.5
54236,彰武,辽宁,122.533,42.417,79.4
54237,阜新,辽宁,121.717,42.083,167.8
54254,开原,辽宁,124.05,42.533,98.2
54259,清原,辽宁,124.917,42.1,237.2
54266,梅河口,吉林,125.633,42.533,340.5
54276,靖宇,吉林,126.817,42.35,549.2
54284,东岗,吉林,127.567,42.1,774.2
54285,松江,吉林,128.25,42.533,591.4
54287,天池,吉林,128.083,42.017,2623
54292,延吉,吉林,129.5,42.867,257.3
54308,丰宁,河北,116.633,41.217,661.2
54311,围场,河北,117.75,41.933,842.8
54324,朝阳,辽宁,120.45,41.55,169.9
54326,叶柏寿,辽宁,119.7,41.383,422
54335,黑山,辽宁,122.083,41.683,37.5
54337,锦州,辽宁,121.117,41.133,65.9
54339,鞍山,辽宁,123,41.083,77.3
54342,沈阳,辽宁,123.517,41.733,49
54346,本溪,辽宁,123.783,41.317,185.4
54351,章党,辽宁,124.083,41.917,118.5
54363,通化,吉林,125.9,41.683,402.9
54365,桓仁,辽宁,125.35,41.283,245.5
54374,临江,吉林,126.917,41.8,332.7
54377,集安,吉林,126.15,41.1,177.7
54386,长白,吉林,128.183,41.417,775
54401,张家口,河北,114.883,40.783,724.2
54405,怀来,河北,115.5,40.4,536.8
54423,承德,河北,117.95,40.983,385.9
54429,遵化,河北,117.95,40.2,54.9
54436,青龙,河北,118.95,40.4,227.5
54449,秦皇岛,河北,119.517,39.85,2.4
54454,绥中,辽宁,120.35,40.35,15.3
54455,兴城,辽宁,120.7,40.583,10.5
54471,营口,辽宁,122.167,40.65,3.8
54476,熊岳,辽宁,122.15,40.167,20.4
54486,岫岩,辽宁,123.283,40.283,79.8
54493,宽甸,辽宁,124.783,40.717,260.1
54497,丹东,辽宁,124.333,40.05,13.8
54511,北京,北京,116.467,39.8,31.3
54518,廊坊,河北,116.383,39.117,9
54527,天津,天津,117.067,39.083,2.5
54534,唐山,河北,118.15,39.667,27.8
54539,乐亭,河北,118.883,39.433,10.5
54563,瓦房店,辽宁,122.017,39.633,118.7
54584,庄河,辽宁,122.95,39.717,34.8
54602,保定,河北,115.517,38.85,17.2
54606,饶阳,河北,115.733,38.233,19
54623,塘沽,天津,117.717,39.05,4.8
54624,黄骅,河北,117.35,38.367,6.6
54662,大连,辽宁,121.633,38.9,91.5
54705,南宫,河北,115.383,37.367,27.4
54725,惠民县,山东,117.533,37.483,11.7
54736,东营,山东,118.667,37.433,6
54751,长岛,山东,120.717,37.933,39.7
54753,龙口,山东,120.317,37.617,4.8
54776,成山头,山东,122.683,37.4,47.7
54808,朝阳,山东,115.667,36.233,37.8
54823,济南,山东,117.05,36.6,170.3
54836,沂源,山东,118.15,36.183,305.1
54843,潍坊,山东,119.183,36.75,22.2
54852,莱阳,山东,120.733,36.967,54.4
54857,青岛,山东,120.333,36.067,76
54863,海阳,山东,121.183,36.767,40.9
54871,石岛,山东,122.433,36.917,4.8
54916,兖州,山东,116.85,35.567,51.7
54936,莒县,山东,118.833,35.583,107.4
54945,日照,山东,119.533,35.433,36.9
55228,狮泉河,西藏,80.083,32.5,4278.6
55279,班戈,西藏,90.017,31.383,4700
55299,那曲,西藏,92.067,31.483,4507
55472,申扎,西藏,88.633,30.95,4672
55578,日喀则,西藏,88.883,29.25,3836
55598,泽当,西藏,91.767,29.25,3551.7
55696,隆子,西藏,92.467,28.417,3860
55773,帕里,西藏,89.083,27.733,4300
56004,托托河,青海,92.433,34.217,4533.1
56018,杂多,青海,95.3,32.9,4066.4
56029,玉树,青海,97.017,33.017,3681.2
56033,玛多,青海,98.217,34.917,4272.3
56038,石渠,四川,98.1,32.983,9200
56046,达日,青海,99.65,33.75,3967.5
56065,河南,青海,101.6,34.733,8500
56067,久治,青海,101.483,33.433,3628.5
56080,合作,甘肃,102.9,35,2910
56093,岷县,甘肃,104.017,34.433,2315
56106,索县,西藏,93.783,31.883,4022.8
56125,囊谦,青海,96.483,32.2,3643.7
56137,昌都,西藏,97.167,31.15,3306
56144,德格,四川,98.583,31.8,8184
56146,甘孜,四川,100,31.617,8393.5
56152,色达,四川,100.333,32.283,8893.9
56167,道孚,四川,101.117,30.983,2957.2
56172,马尔康,四川,102.233,31.9,2664.4
56173,红原,四川,102.55,32.8,3491.6
56178,小金,四川,102.35,31,2369.2
56182,松潘,四川,103.567,32.65,2850.7
56188,都江堰,四川,103.667,31,698.5
56196,绵阳,四川,104.733,31.45,522.7
56202,嘉黎,西藏,93.283,30.667,4488.8
56227,波密,西藏,95.767,29.867,2736
56251,新龙,四川,100.317,30.933,8000
56287,雅安,四川,103,29.983,627.6
56312,林芝,西藏,94.333,29.667,2991.8
56357,稻城,四川,100.3,29.05,8727.7
56374,康定,四川,101.967,30.05,2615.7
56385,峨眉山,四川,103.333,29.517,8047.4
56386,乐山,四川,103.75,29.567,424.2
56444,德钦,云南,98.917,28.483,3319
56459,木里,四川,101.267,27.933,2426.5
56462,九龙,四川,101.5,29,7987.3
56475,越西,四川,102.517,28.65,1659.5
56479,昭觉,四川,102.85,28,2132.4
56485,雷波,四川,103.583,28.267,1255.8
56492,宜宾,四川,104.6,28.8,340.8
56533,贡山,云南,98.667,27.75,1583.3
56543,中甸,云南,99.7,27.833,3276.7
56548,维西,云南,99.283,27.167,2326.1
56565,盐源,四川,101.517,27.433,2545
56571,西昌,四川,102.267,27.9,1590.9
56586,昭通,云南,103.717,27.35,1949.5
56671,会理,四川,102.25,26.65,1787.3
56684,会泽,云南,103.283,26.417,2110.5
56691,威宁,贵州,104.283,26.867,2237.5
56739,腾冲,云南,98.5,25.017,1654.6
56748,保山,云南,99.183,25.117,1652.2
56751,大理,云南,100.183,25.7,1990.5
56768,楚雄,云南,101.55,25.033,1824.1
56778,昆明,云南,102.65,25,1886.5
56786,沾益,云南,103.833,25.583,1898.7
56793,盘县,贵州,104.467,25.717,1800
56838,瑞丽,云南,97.85,24.017,776.6
56856,景东,云南,100.867,24.467,1162.3
56875,玉溪,云南,102.55,24.333,1716.9
56886,泸西,云南,103.767,24.533,1704.3
56951,临沧,云南,100.083,23.883,1502.4
56954,澜沧,云南,99.933,22.567,1054.8
56959,景洪,云南,100.783,22,582
56964,思茅,云南,100.967,22.783,1302.1
56966,元江,云南,101.983,23.6,400.9
56969,勐腊,云南,101.567,21.483,631.9
56977,江城,云南,101.85,22.583,1120.5
56985,蒙自,云南,103.383,23.383,1300.7
57034,武功,陕西,108.217,34.25,447.8
57036,西安,陕西,108.933,34.3,397.5
57046,华山,陕西,110.083,34.483,2064.9
57051,三门峡,河南,111.2,34.8,409.9
57067,卢氏,河南,111.033,34.05,568.8
57071,孟津,河南,112.433,34.817,333.3
57077,栾川,河南,111.6,33.783,750.3
57083,郑州,河南,113.65,34.717,110.4
57089,许昌,河南,113.867,34.033,66.8
57091,开封,河南,114.3,34.783,73.7
57134,佛坪,陕西,107.983,33.517,827.2
57143,商州,陕西,109.967,33.867,742.2
57156,西峡,河南,111.5,33.3,250.3
57178,南阳,河南,112.583,33.033,129.2
57181,宝丰,河南,113.05,33.883,136.4
57193,西华,河南,114.517,33.783,52.6
57232,石泉,陕西,108.267,33.05,484.9
57237,万源,四川,108.033,32.067,674
57245,安康,陕西,109.033,32.717,290.8
57259,房县,湖北,110.767,32.033,426.9
57265,老河口,湖北,111.667,32.383,90
57279,枣阳,湖北,112.75,32.15,125.5
57290,驻马店,河南,114.017,33,82.7
57297,信阳,河南,114.05,32.133,114.5
57306,阆中,四川,105.967,31.583,382.6
57313,巴中,四川,106.767,31.867,417.7
57348,奉节,重庆,109.533,31.017,299.8
57355,巴东,湖北,110.367,31.033,334
57378,钟祥,湖北,112.567,31.167,65.8
57385,广水,湖北,113.817,31.617,93.3
57399,麻城,湖北,115.017,31.183,59.3
57405,遂宁,四川,105.55,30.5,355
57411,南充,四川,106.1,30.783,309.7
57426,梁平,重庆,107.8,30.683,454.5
57447,恩施,湖北,109.467,30.283,457.1
57458,五峰,湖北,110.667,30.2,619.9
57461,宜昌,湖北,111.3,30.7,133.1
57476,荆州,湖北,112.15,30.35,32.2
57483,天门,湖北,113.167,30.667,34.1
57494,武汉,湖北,114.133,30.617,23.1
57516,重庆沙坪坝,重庆,106.467,29.583,259.1
57545,来风,湖北,109.417,29.517,459.5
57554,桑植,湖南,110.167,29.4,322.2
57562,石门,湖南,111.367,29.583,116.9
57574,南县,湖南,112.4,29.367,36
57583,嘉鱼,湖北,113.917,29.983,36
57584,岳阳,湖南,113.083,29.383,53
57598,修水,江西,114.583,29.033,146.8
57606,桐梓,贵州,106.833,28.133,972
57608,叙永,四川,105.433,28.167,377.5
57614,习水,贵州,106.217,28.333,1180.2
57633,酉阳,重庆,108.767,28.833,664.1
57649,吉首,湖南,109.733,28.317,208.4
57655,沅陵,湖南,110.4,28.467,151.6
57669,安化,湖南,111.217,28.383,128.3
57671,沅江,湖南,112.367,28.85,37
57682,平江,湖南,113.567,28.717,106.3
57707,毕节,贵州,105.283,27.3,1510.6
57713,遵义,贵州,106.883,27.7,843.9
57722,湄潭,贵州,107.467,27.767,792.2
57731,思南,贵州,108.25,27.95,416.3
57741,铜仁,贵州,109.183,27.717,279.7
57745,芷江,湖南,109.683,27.45,272.2
57766,邵阳,湖南,111.467,27.233,248.6
57774,双峰,湖南,112.167,27.45,100
57776,南岳,湖南,112.7,27.3,1265.9
57793,宜春,江西,114.383,27.8,131.3
57799,吉安,江西,114.917,27.05,71.2
57803,黔西,贵州,106.017,27.033,1231.4
57806,安顺,贵州,105.9,26.25,1431.1
57816,贵阳,贵州,106.733,26.583,1223.8
57825,凯里,贵州,107.983,26.6,720.3
57832,三穗,贵州,108.667,26.967,626.9
57845,通道,湖南,109.783,26.167,397.5
57853,武冈,湖南,110.633,26.733,341
57866,零陵,湖南,111.617,26.233,172.6
57872,衡阳,湖南,112.6,26.9,104.9
57896,遂川,江西,114.5,26.333,126.1
57902,兴义,贵州,105.183,25.433,1378.5
57906,望谟,贵州,106.083,25.183,566.8
57916,罗甸,贵州,106.767,25.433,440.3
57922,独山,贵州,107.55,25.833,1013.3
57932,榕江,贵州,108.533,25.967,285.7
57947,融安,广西,109.4,25.217,121.3
57957,桂林,广西,110.3,25.317,164.4
57965,道县,湖南,111.6,25.533,192.2
57972,郴州,湖南,113.033,25.8,184.9
57993,赣州,江西,115,25.867,137.5
57996,南雄,广东,114.317,25.133,133.8
58005,尚丘,河南,115.667,34.45,50.1
58015,砀山,安徽,116.333,34.433,44.2
58027,徐州,江苏,117.15,34.283,41.2
58102,亳州,安徽,115.767,33.867,37.7
58122,宿县,安徽,116.983,33.633,25.9
58138,盱眙,江苏,118.517,32.983,40.8
58150,射阳,江苏,120.25,33.767,2
58208,固始,河南,115.617,32.167,42.9
58215,寿县,安徽,116.783,32.55,22.7
58221,蚌埠,安徽,117.383,32.917,21.9
58236,滁县,安徽,118.3,32.3,27.5
58238,南京,江苏,118.8,32,7.1
58251,东台,江苏,120.317,32.867,4.3
58259,南通,江苏,120.883,31.983,6.1
58265,吕泗,江苏,121.6,32.067,5.5
58311,六安,安徽,116.5,31.75,60.5
58314,霍山,安徽,116.317,31.4,86.4
58321,合肥,安徽,117.3,31.783,27
58326,巢湖,安徽,117.867,31.617,22.4
58343,常州,江苏,119.983,31.883,4.4
58345,溧阳,江苏,119.483,31.433,7.7
58358,吴县东山,江苏,120.433,31.067,17.5
58402,英山,湖北,115.667,30.733,123.8
58407,黄石,湖北,115.033,30.233,32.2
58424,安庆,安徽,117.05,30.533,19.8
58436,宁国,安徽,118.983,30.617,89.4
58437,黄山,安徽,118.15,30.133,1840.4
58457,杭州,浙江,120.167,30.233,41.7
58464,平湖,浙江,121.083,30.617,5.4
58467,慈溪,浙江,121.267,30.2,4.5
58472,嵊泗,浙江,122.45,30.733,79.6
58477,定海,浙江,122.1,30.033,35.7
58506,庐山,江西,115.983,29.583,1164.5
58519,波阳,江西,116.683,29,40.1
58527,景德镇,江西,117.2,29.3,61.5
58531,屯溪,安徽,118.283,29.717,142.7
58549,金华,浙江,119.65,29.117,62.6
58556,嵊县,浙江,120.817,29.6,104.3
58562,鄞县,浙江,121.567,29.867,4.8
58569,石浦,浙江,121.95,29.2,128.4
58606,南昌,江西,115.917,28.6,46.9
58608,樟树,江西,115.55,28.067,30.4
58626,贵溪,江西,117.217,28.3,51.2
58633,衢州,浙江,118.9,29,82.4
58634,玉山,江西,118.25,28.683,116.3
58646,丽水,浙江,119.917,28.45,59.7
58647,龙泉,浙江,119.133,28.067,195.5
58665,洪家,浙江,121.417,28.617,4.6
58666,大陈岛,浙江,121.9,28.45,86.2
58667,玉环,浙江,121.267,28.083,95.9
58715,南城,江西,116.65,27.583,80.8
58725,邵武,福建,117.467,27.333,218
58731,浦城,福建,118.533,27.917,276.9
58737,建瓯,福建,118.317,27.05,154.9
58754,福鼎,福建,120.2,27.333,36.2
58813,广昌,江西,116.333,26.85,143.8
58834,南平,福建,118.167,26.65,125.6
58847,福州,福建,119.283,26.083,84
58918,上杭,福建,116.417,25.05,198
58921,永安,福建,117.35,25.967,206
58931,九仙山,福建,118.1,25.717,1653.5
58933,屏南,福建,118.983,26.917,869.5
58944,平潭,福建,119.783,25.517,32.4
59021,凤山,广西,107.033,24.55,484.6
59023,河池,广西,108.033,24.7,260.2
59037,都安,广西,108.1,23.933,170.8
59046,柳州,广西,109.4,24.35,96.8
59058,蒙山,广西,110.517,24.2,145.7
59065,贺县,广西,111.533,24.417,108.8
59072,连县,广东,112.383,24.783,98.3
59082,韶关,广东,113.6,24.683,61
59087,佛岗,广东,113.533,23.867,68.6
59096,连平,广东,114.483,24.367,214.8
59102,寻鸟,江西,115.65,24.95,303.9
59117,梅县,广东,116.1,24.267,87.8
59126,漳州,福建,117.65,24.5,28.9
59133,崇武,福建,118.917,24.9,21.8
59134,厦门,福建,118.067,24.483,139.4
59209,那坡,广西,105.833,23.417,794.1
59211,百色,广西,106.6,23.9,173.5
59218,靖西,广西,106.417,23.133,739.9
59242,来宾,广西,109.233,23.75,84.9
59254,桂平,广西,110.083,23.4,42.5
59265,梧州,广西,111.3,23.483,114.8
59278,高要,广东,112.45,23.033,41
59287,广州,广东,113.333,23.167,41
59293,东源,广东,114.733,23.8,70.8
59294,增城,广东,113.833,23.333,38.9
59298,惠阳,广东,114.417,23.083,22.4
59303,五华,广东,115.767,23.933,120.9
59316,汕头,广东,116.683,23.4,2.9
59317,惠来,广东,116.3,23.033,14.4
59321,东山,福建,117.5,23.783,53.3
59417,龙州,广西,106.85,22.333,128.8
59431,南宁,广西,108.217,22.633,121.6
59446,灵山,广西,109.3,22.417,66.6
59453,玉林,广西,110.167,22.65,81.8
59456,信宜,广东,110.933,22.35,84.6
59462,罗定,广东,111.567,22.767,53.3
59478,台山,广东,112.783,22.25,32.7
59493,深圳,广东,114,22.533,63
59501,汕尾,广东,115.367,22.8,17.3
59626,东兴,广西,107.967,21.533,22.1
59632,钦州,广西,108.617,21.95,4.5
59644,北海,广西,109.133,21.45,12.8
59647,涠洲岛,广西,109.1,21.033,55.2
59658,湛江,广东,110.3,21.15,53.3
59663,阳江,广东,111.967,21.833,89.9
59664,电白,广东,111,21.5,11.8
59673,上川岛,广东,112.767,21.733,21.5
59754,徐闻,广东,110.183,20.333,55.9
59758,海口,海南,110.25,20,63.5
59838,东方,海南,108.617,19.1,7.6
59845,儋县,海南,109.583,19.517,169
59849,琼中,海南,109.833,19.033,250.9
59855,琼海,海南,110.467,19.233,24
59948,三亚,海南,109.517,18.233,6
59954,陵水,海南,110.033,18.5,13.9
59981,西沙,海南,112.333,16.833,4.7
